vehicle_category,make,model,manufacture_year,district,count
MOTOR CYCLE,LUYUAN ALFAXL,MT-FS8020-GI,2016,KEGALLE,3
MOTOR CYCLE,LUYUAN ALFAXL,MT-FS8020-GI,2016,MONERAGALA,1
MOTOR CYCLE,LUYUAN ALFAXL,MD-DS7220-GI,2017,COLOMBO,1
MOTOR CYCLE,LUYUAN ALFAXL,MT-FS8020-GI,2018,KEGALLE,1
MOTOR CYCLE,RISE,LEADER,2022,PUTTALAM,8
MOTOR CYCLE,RISE,LEADER,2022,MONERAGALA,3
MOTOR CYCLE,RISE,LEADER,2023,PUTTALAM,33
MOTOR CYCLE,RISE,LEADER MAX,2023,PUTTALAM,1
MOTOR CYCLE,DASTOL,DW 28,2024,HAMBANTOTA,1
MOTOR CYCLE,OYFLY,TDM BO2,2024,COLOMBO,8
MOTOR CYCLE,RISE,LEADER R80,2025,KEGALLE,1
MOTOR CYCLE,RISE,LEADER,2025,HAMBANTOTA,1
MOTOR CYCLE,RISE,LEADER PLUS,2025,HAMBANTOTA,6
MOTOR CYCLE,OYFLY,TDM BO2,2025,HAMBANTOTA,1
MOTOR CYCLE,RISE,LEADER R 100,2025,VAVUNIYA,1
MOTOR CYCLE,RISE,LEADE R 80 V2.0,2025,COLOMBO,1
MOTOR CYCLE,RISE,LEADER R80 V2.0,2025,KEGALLE,1
CAR,DAIHATSU,5AA-A202S ROCKY,2023,NUWARA-ELIYA,1
MOTOR CYCLE,RISE,LEADER V 2.0,2025,COLOMBO,2
MOTOR CYCLE,RISE,LEADER V 2.0,2025,GALLE,3
CAR,DAIHATSU,5AA-A202S ROCKY,2023,KANDY,1
MOTOR CYCLE,SUNRA,AMALFI,2025,KEGALLE,1
MOTOR CYCLE,LUYUAN ALFAXL,MTA-FS8020-G,2016,KURUNEGALA,1
MOTOR CYCLE,RISE,LEADER,2022,KURUNEGALA,20
MOTOR CYCLE,OYFLY,TDM-119,2024,KURUNEGALA,1
MOTOR CYCLE,LUYUAN ALFAXL,HD-724SP,2009,BADULLA,1
MOTOR CYCLE,OYFLY,TDM-LTW,2023,POLONNARUWA,3
MOTOR CYCLE,OYFLY,TDM-LTW,2024,KALUTARA,3
MOTOR CYCLE,RISE,LEADER R 100,2025,KALUTARA,3
MOTOR CYCLE,ZONGSHEN,TDT1052,2018,ANURADHAPURA,1
MOTOR CYCLE,RISE,LEADER,2022,ANURADHAPURA,5
MOTOR CYCLE,OYFLY,TDM-LTW,2024,MATALE,1
CAR,DAIHATSU,5AA-A202S ROCKY,2023,MATARA,1
MOTOR CYCLE,SUNRA,K6,2025,ANURADHAPURA,1
MOTOR CYCLE,LUYUAN ALFAXL,MD-DS7220-GI,2015,GAMPAHA,3
MOTOR CYCLE,RISE,LEADER,2022,GAMPAHA,80
MOTOR CYCLE,WAOPAI,WANG,2018,MATARA,1
MOTOR CYCLE,RISE,LEADER MAX,2024,MATARA,1
MOTOR CYCLE,RISE,LEADER,2025,GAMPAHA,1
MOTOR CYCLE,RISE,LEADER,2024,KILINOCHCHI,10
MOTOR CYCLE,DASTOL,DW-28,2024,RATNAPURA,1
MOTOR CYCLE,RISE,LEADER,2025,MULLATIVU,1
MOTOR CYCLE,RISE,LEADER PLUS,2025,MULLATIVU,5
CAR,B.M.W.,I.3,2016,COLOMBO,1
THREE WHEELER,DUDU,PROUD 02K,2016,COLOMBO,1
CAR,B.M.W.,13,2015,COLOMBO,2
CAR,B.M.W.,13 ELECTRIC AUTO,2015,COLOMBO,1
CAR,B.M.W.,17XDRIVE 60M SPORT,2023,COLOMBO,1
MOTOR CYCLE,LIMA,JV,2023,GALLE,13
CAR,B.M.W.,I7XDRIVE60EXCELLENCE,2023,COLOMBO,1
CAR,B.M.W.,17X DRIVE 60 M SPORT,2023,COLOMBO,1
CAR,B.M.W.,IX XDRIVE40 ELECTRIC,2023,COLOMBO,1
CAR,B.M.W.,IX 40 X DRIVE,2024,COLOMBO,1
CAR,B.M.W.,IX XDRIVE 40M SPORT,2023,COLOMBO,1
MOTOR CYCLE,LIMA,ELO-07,2024,GALLE,52
MOTOR CYCLE,LIMA,ELO-07,2024,AMPARA,7
MOTOR CYCLE,LIMA,JV 1.5G,2024,MONERAGALA,2
MOTOR CYCLE,ATHER,450X,2024,COLOMBO,63
MOTOR CYCLE,ATHER,450APEX,2024,COLOMBO,1
MOTOR CYCLE,ATHER,450X,2024,HAMBANTOTA,9
MOTOR CYCLE,ATHER,450X,2024,TRINCOMALEE,4
CAR,B.M.W.,IX X DRIVE 40,2024,RATNAPURA,1
CAR,B.M.W.,ZAA-32FK45 I5,2024,COLOMBO,1
CAR,B.M.W.,17 X DRIVE 60,2023,COLOMBO,1
MOTOR CYCLE,ATHER,450X,2025,TRINCOMALEE,8
MOTOR CYCLE,ATHER,450X,2025,KANDY,6
MOTOR CYCLE,WUXI,MC-WM12,2025,COLOMBO,1
MOTOR CYCLE,LIMA,EL07,2025,TRINCOMALEE,2
CAR,BAW,E7,2025,MONERAGALA,5
MOTOR CYCLE,HERO HONDA,CD100DELUXE,2009,KURUNEGALA,1
CAR,B.M.W.,IX3 M SPORT,2023,GAMPAHA,1
MOTOR CYCLE,LIMA,ELO-07,2024,KURUNEGALA,285
MOTOR CYCLE,ATHER,450X,2024,KURUNEGALA,9
MOTOR CYCLE,LIMA,E-BIKE,2025,KURUNEGALA,1
MOTOR CYCLE,LIMA,ELO-07,2024,POLONNARUWA,60
MOTOR CYCLE,ATHER,450X,2025,KALUTARA,42
MOTOR CYCLE,ZUB,MOTOBIKE,2018,MATALE,2
MOTOR CYCLE,YAMAHA,FASCINO,2016,BATTICALOA,2
CAR,B.M.W.,I 3,2014,PUTTALAM,1
MOTOR CYCLE,LE,LUCAS FASTEST B23-A,2022,MATARA,1
MOTOR CYCLE,ATHER,450X,2024,GAMPAHA,12
MOTOR CYCLE,YOUNIU,YN1800DT-2,2024,GAMPAHA,1
MOTOR CYCLE,YAMAHA,FASCINO,2016,MANNAR,1
MOTOR CYCLE,YAMAHA,FASCINO,2016,KILINOCHCHI,1
MOTOR CYCLE,-,GWEM01PRETTY,2016,RATNAPURA,1
MOTOR CYCLE,LE,ELECTRO BLADE BI3A,2022,RATNAPURA,2
MOTOR CYCLE,ATHER,450X,2025,MANNAR,1
MOTOR CYCLE,MOTOLANKA,JPM 30 H2,2009,JAFFNA,1
MOTOR CYCLE,YAMAHA,FASCINO,2016,JAFFNA,4
MOTOR CYCLE,LIMA,JV,2023,MULLATIVU,3
MOTOR CYCLE,LIMA,JV 1.5G,2024,JAFFNA,7
CAR,TESLA,ZAA-SLIS MODEL S,2015,COLOMBO,1
CAR,TESLA,MODEL S,2015,COLOMBO,3
MOTOR CYCLE,AIMA,BATTLE,2017,KEGALLE,2
CAR,TESLA,S 85,2015,COLOMBO,1
MOTOR CYCLE,NWOW,CS,2019,COLOMBO,1
MOTOR CYCLE,NWOW,SE,2020,KANDY,1
MOTOR CYCLE,HERO,NYX CX ER,2022,COLOMBO,100
MOTOR CYCLE,NWOW,ARS,2023,COLOMBO,50
MOTOR CYCLE,NWOW,GB2,2023,COLOMBO,4
MOTOR CYCLE,NWOW,ARS,2022,PUTTALAM,1
MOTOR CYCLE,WUYANG,H7S-PLUS,2023,COLOMBO,1
MOTOR CYCLE,NWOW,SE,2022,PUTTALAM,2
MOTOR CYCLE,NWOW,ERV,2014,COLOMBO,1
MOTOR CYCLE,NWOW,ARS,2024,COLOMBO,8
CAR,TESLA,MODEL 3 RWD,2024,RATNAPURA,1
CAR,TESLA,MODEL Y,2024,KANDY,1
CAR,TESLA,MODEL Y RWD,2024,COLOMBO,2
MOTOR CYCLE,AIMA,SCOOTER,2024,COLOMBO,1
MOTOR CYCLE,NWOW,SE,2017,COLOMBO,2
MOTOR CYCLE,LUYUAN,MNK3,2025,AMPARA,24
MOTOR CYCLE,LUYUAN,MYT,2025,AMPARA,21
MOTOR CYCLE,NWOW,TK 10,2025,PUTTALAM,7
MOTOR CYCLE,DAYWANG(DW)SL,DU,2024,AMPARA,1
MOTOR CYCLE,OPAI,YW-06,2024,AMPARA,1
MOTOR CYCLE,LUYUAN,S90 PLUS,2025,HAMBANTOTA,3
MOTOR CYCLE,NWOW,ARS,2025,COLOMBO,57
CAR,TESLA,MODEL 3,2024,GALLE,1
MOTOR CYCLE,LUYUAN,M-MHH-Z45LJ,2025,HAMBANTOTA,4
MOTOR CYCLE,LUYUAN,MNK3,2025,KANDY,2
MOTOR CYCLE,AIMA,LIBERTY,2025,GALLE,44
MOTOR CYCLE,AIMA,MAVERICK,2025,AMPARA,4
MOTOR CYCLE,AIMA,LIBERTY,2025,TRINCOMALEE,10
MOTOR CYCLE,AIMA,ARIA,2025,AMPARA,3
MOTOR CYCLE,AIMA,LIBERTY,2025,KEGALLE,1
MOTOR CYCLE,GAROW,DM-JG 75450,2025,COLOMBO,1
CAR,WULING,CLOUD EV,2025,GALLE,3
CAR,WULING,BINGUO  E V,2025,COLOMBO,1
MOTOR CYCLE,LUYUAN,MS70 Z23E,2025,PUTTALAM,1
MOTOR CYCLE,NWOW,GOLDEN BATTERFLY,2014,KEGALLE,1
CAR,TESLA,3 RWD,2024,GAMPAHA,1
MOTOR CYCLE,NWOW,TK 10,2024,KURUNEGALA,1
MOTOR CYCLE,AIMA,MANA,2025,KURUNEGALA,38
MOTOR CYCLE,NWOW,SE,2018,KALUTARA,3
MOTOR CYCLE,GK,TRAVELER,2018,KALUTARA,1
MOTOR CYCLE,NWOW,ARS,2023,KALUTARA,14
MOTOR CYCLE,NWOW,WSP,2023,KALUTARA,5
MOTOR CYCLE,LUYUAN,S90 PLUS,2025,BADULLA,1
MOTOR CYCLE,AIMA,BREEZY,2025,POLONNARUWA,74
MOTOR CYCLE,LUYUAN,MS70 Z23E,2025,BADULLA,1
MOTOR CYCLE,NWOW,GB2,2024,KALUTARA,1
MOTOR CYCLE,AIMA,ARIA,2025,POLONNARUWA,12
MOTOR CYCLE,GAROW,SHIZHIZUO,2024,POLONNARUWA,1
MOTOR CYCLE,NWOW,TK 10,2023,MATALE,3
MOTOR CYCLE,DAYWANG(DW)SL,E-MOTOR CYCLE,2024,MATALE,2
MOTOR CYCLE,NWOW,ARS,2023,MATALE,1
MOTOR CYCLE,LUYUAN,MYT,2024,MATALE,1
MOTOR CYCLE,LUYUAN,MYT,2024,ANURADHAPURA,1
MOTOR CYCLE,AIMA,BREEZY,2025,ANURADHAPURA,76
CAR,WULING,CLOUD EV,2025,KALUTARA,6
MOTOR CYCLE,LUYUAN,MS75-Z30LF,2025,ANURADHAPURA,1
MOTOR CYCLE,NWOW,M3,2018,GAMPAHA,1
MOTOR CYCLE,NWOW,TK,2019,GAMPAHA,4
MOTOR CYCLE,NWOW,TK 10,2020,GAMPAHA,2
MOTOR CYCLE,NWOW,WSP,2024,MATARA,3
MOTOR CYCLE,AIMA,BREEZY,2025,GAMPAHA,16
MOTOR CYCLE,AIMA,BREEZY,2025,BATTICALOA,8
MOTOR CYCLE,GK,M6,2018,RATNAPURA,1
MOTOR CYCLE,NWOW,V11,2024,RATNAPURA,1
THREE WHEELER,NWOW,ERVS4 PLUS,2025,PUTTALAM,1
MOTOR CYCLE,AIMA,LIBERTY,2025,KILINOCHCHI,7
THREE WHEELER,NWOW,ERVS4 PLUS,2025,KEGALLE,2
MOTOR CYCLE,AIMA,LIBERTY,2025,MANNAR,1
MOTOR CYCLE,AIMA,LIYING,2017,JAFFNA,2
MOTOR CYCLE,NWOW,TK 10,2023,JAFFNA,1
MOTOR CYCLE,NWOW,SE,2024,JAFFNA,1
MOTOR CYCLE,LUYUAN,MNK3,2025,JAFFNA,1
CAR,NISSAN,ZAA-ZEO/HATCH BACK,2011,COLOMBO,1
CAR,NISSAN,ZAA-ZEO,2012,COLOMBO,18
CAR,NISSAN,ZAA-AZE0 LEAF,2012,COLOMBO,76
CAR,NISSAN,ZAA-ZEO LEAF,2012,BATTICALOA,1
CAR,NISSAN,ZAA-ZEO-LEAF,2012,COLOMBO,5
CAR,MITSUBISHI,ZAA - HA4W I-MIEV,2014,COLOMBO,1
CAR,NISSAN,ZAA-AZEO LEAF,2014,COLOMBO,246
CAR,NISSAN,LEAF ACENTA,2014,COLOMBO,85
CAR,NISSAN,ZAA-ZEO -LEAF,2012,COLOMBO,1
CAR,NISSAN,ZAA-AZEO LEAF,2012,GALLE,10
CAR,NISSAN,ZAA-AZE0 LEAF,2012,GALLE,9
DUAL PURPOSE (COMMERCIAL),MITSUBISHI,ZAB-U67V MINICAB,2012,COLOMBO,2
CAR,NISSAN,AZZ-ZEO LEAF VISLA,2015,COLOMBO,1
CAR,NISSAN,ZAA-AZE LEAF,2013,COLOMBO,1
CAR,NISSAN,ZAA-AZEO,2013,RATNAPURA,2
CAR,VOLKSWAGEN,E-GOLF,2014,COLOMBO,3
CAR,NISSAN,ZAA-ZAE0 LEAF,2013,GALLE,1
CAR,NISSAN,ZAA AZEO LEAF,2012,KANDY,2
CAR,NISSAN,ZAA-AZEO LEAF,2014,MATALE,6
CAR,NISSAN,LEAF ACENTS,2014,COLOMBO,1
CAR,NISSAN,ZAA ZEO LEAF,2012,GALLE,2
CAR,NISSAN,ZAA-AZE0  LEAF,2014,GALLE,1
CAR,NISSAN,ZAA AZEO LEAF,2012,RATNAPURA,1
CAR,NISSAN,ZAA-ZEO LEAF,2014,COLOMBO,1
CAR,NISSAN,ZAA-AZEA LEAF,2013,COLOMBO,1
CAR,NISSAN,LEAF ACENTA ZEO,2015,COLOMBO,1
CAR,MITSUBISHI,ZAA-HA3W 1-MIEV,2013,COLOMBO,1
CAR,NISSAN, ZAA-AZEO LEAF,2013,COLOMBO,1
CAR,MITSUBISHI,ZAA-HA3W 1 MIEV,2013,COLOMBO,1
MOTOR CYCLE,SANYA,SY8-TY60,2016,COLOMBO,1
CAR,NISSAN,ZAA-AZEO LEAF,2016,COLOMBO,6
CAR,NISSAN,ZAA- AZEO- LEAF,2015,COLOMBO,1
CAR,NISSAN,LEAF ACENTA- 30 KWH,2015,COLOMBO,1
CAR,NISSAN,ZAA- AZEO- LEAF,2013,COLOMBO,1
MOTOR CYCLE,QIANGSHENG,QS-XY,2016,COLOMBO,1
MOTOR CYCLE,TERRA,ELECTRICT BICK,2015,COLOMBO,1
CAR,NISSAN,LEAF TEKNA,2018,COLOMBO,6
CAR,NISSAN,ZAA-ZE1 LEAF,2018,COLOMBO,7
CAR,NISSAN,ZAA-ZEI LEAF,2018,KANDY,2
CAR,NISSAN,ZAA-ZE1 LEAF,2019,COLOMBO,2
CAR,NISSAN,ZAA-ZEI LEAF,2019,COLOMBO,1
DUAL PURPOSE (COMMERCIAL),MITSUBISHI,ZAB-U68V MINICAB,2017,MONERAGALA,1
CAR,NISSAN,LEAF ZEROE,2012,COLOMBO,1
DUAL PURPOSE (COMMERCIAL),NISSAN,E NV 200,2015,COLOMBO,1
CAR,NISSAN,LEAF ACENTA,2023,COLOMBO,1
CAR,VOLKSWAGEN,ID.4 LIFE,2023,COLOMBO,3
CAR,VOLKSWAGEN,ID 4 LIFE,2023,COLOMBO,3
CAR,VOLKSWAGEN,ID4 LIFE,2023,COLOMBO,1
CAR,NISSAN,LEAF ZAA-ZE1,2022,COLOMBO,1
MOTOR CYCLE,SUPER SOCO,CPX,2023,KANDY,1
MOTOR CYCLE,TERRA,A4000I,2015,KANDY,1
MOTOR CYCLE,SUPER SOCO,TS STREET HUNTER,2024,TRINCOMALEE,1
CAR,NISSAN,ZAA-ZE1 LEAF,2023,COLOMBO,1
CAR,NISSAN,LEAF-N-CONNECTA,2023,KANDY,1
CAR,VOLKSWAGEN,ZAA-E2EBJ ID4,2024,KANDY,1
CAR,VOLKSWAGEN,ZAA-E2EBJ ID4 PRO,2024,KANDY,1
MOTOR CYCLE,SUPER SOCO,TS STREET HUNTER,2022,KANDY,1
CAR,MITSUBISHI,ZAA-B5AW EK X,2023,KANDY,1
MOTOR CYCLE,DIMEN,D60,2025,GALLE,16
MOTOR CYCLE,SUPER SOCO,CUX PRO,2024,PUTTALAM,1
CAR,GAC,AION Y,2025,COLOMBO,6
CAR,NISSAN,6AA-E13 NOTE,2023,COLOMBO,1
CAR,LEAPMOTOR,C10 REEV,2025,COLOMBO,8
CAR,NISSAN,ZAA-ZE0,2012,GAMPAHA,3
CAR,NISSAN,ZAA-AZE0 LEAF,2014,BADULLA,5
CAR,NISSAN,ZAA-AZE0 LEAF,2013,ANURADHAPURA,1
CAR,NISSAN,ZAA AZEO LEAF,2014,GAMPAHA,16
CAR,NISSAN,ZAA-AZEO LEAF,2015,GAMPAHA,13
CAR,NISSAN,ZAA-AZEO LEAF,2012,ANURADHAPURA,2
CAR,NISSAN,LEAF ZEO,2013,GAMPAHA,2
CAR,NISSAN,ZAA-ZE0 LEAF ACENTA,2014,GAMPAHA,1
CAR,NISSAN,TEKNA LEAF,2015,GAMPAHA,1
CAR,NISSAN,LEAF,2013,BADULLA,2
CAR,NISSAN,LEAF 2 ZERO,2018,GAMPAHA,1
CAR,NISSAN,LEAF TEKNA,2018,GAMPAHA,1
CAR,VOLKSWAGEN,ID4 PRO,2024,GAMPAHA,3
CAR,VOLKSWAGEN,ID4,2024,GAMPAHA,1
CAR,NISSAN,6AA-FE13,2023,GAMPAHA,1
CAR,NISSAN,6AA-E13 NOTE,2024,GAMPAHA,2
CAR,NISSAN,6AA-E13 NOTE,2023,GAMPAHA,2
MOTOR CYCLE,SUPER SOCO,CUX PRO,2022,POLONNARUWA,1
CAR,NISSAN,ZAA-ZEO LEAF,2012,KALUTARA,8
CAR,NISSAN,LEAF TEKNA,2014,KURUNEGALA,2
CAR,NISSAN,ZAA-AZE0 LEAF,2012,KEGALLE,6
CAR,NISSAN,LEAF,2013,KALUTARA,5
CAR,NISSAN,ZAA-AZEO LEAF,2015,KURUNEGALA,6
CAR,NISSAN,ZAA AZEO LEAF,2015,KALUTARA,2
CAR,NISSAN,LEAF ACENTA,2015,KURUNEGALA,3
CAR,NISSAN,ZAA-AZEO  LEAF,2014,AMPARA,1
CAR,NISSAN,ZAA-ZEO LEAF,2012,AMPARA,1
CAR,NISSAN,ZAA-AZE0  LEAF,2015,KALUTARA,1
CAR,NISSAN,ZAA-AZEO  LEAF,2014,KALUTARA,2
CAR,NISSAN,LEAF,2017,KALUTARA,1
CAR,NISSAN,ZAA-ZE1 LEAF,2018,KALUTARA,1
CAR,MITSUBISHI,ZAB-U67V,2012,KURUNEGALA,1
CAR,NISSAN,6AA-GC28 SERENA,2024,MATARA,1
CAR,GAC,AION V LUXURY,2025,KEGALLE,2
CAR,NISSAN,ZAA-AZEO,2013,PUTTALAM,2
CAR,NISSAN,ZAA-AZE0 LEAF,2012,PUTTALAM,6
CAR,NISSAN,ZAA-AZEO  LEAF,2014,PUTTALAM,1
CAR,NISSAN,ZAA-ZEO LEAF,2012,PUTTALAM,4
CAR,NISSAN,ZAA-AZEO LEAF,2013,PUTTALAM,21
CAR,NISSAN,ZAA ZEO  LEAF,2012,PUTTALAM,1
CAR,NISSAN,ZAA ZE0 LEAF,2012,PUTTALAM,1
CAR,NISSAN,LEAF ACENTA,2014,PUTTALAM,1
MOTOR CYCLE,TERRA,SEED  40,2015,GAMPAHA,1
MOTOR CYCLE,SCOOTER,SHARK,2017,GAMPAHA,1
MOTOR CYCLE,CHINA,SE,2017,GAMPAHA,17
MOTOR CYCLE,TERRA,A4000I,2016,GAMPAHA,3
MOTOR CYCLE,SUPER SOCO,CPX,2023,GAMPAHA,6
MOTOR CYCLE,SUPER SOCO,TS STREET HUNTER,2024,GAMPAHA,26
CAR,NISSAN,ZAA-AZEO LEAF,2013,POLONNARUWA,2
CAR,VOLKSWAGEN,ID4 LIFE PURE,2023,POLONNARUWA,1
DUAL PURPOSE (COMMERCIAL),MITSUBISHI,ZAB-U67V MINICAB,2011,RATNAPURA,1
SINGLE CAB,MITSUBISHI,ZAB-U68T MINICAB,2013,COLOMBO,7
DUAL PURPOSE (COMMERCIAL),MITSUBISHI,ZAB-U68V  MINICAB,2017,RATNAPURA,1
MOTOR CYCLE,POWER STAR,0,2005,COLOMBO,1
MOTOR CYCLE,AMUR LEOPARD,LUHU,2013,COLOMBO,1
MOTOR CYCLE,AMUR LEOPARD,SKY CAT 48 V,2015,COLOMBO,2
MOTOR CYCLE,AMUR LEOPARD,WUYANG PRINCESS,2014,MONERAGALA,1
MOTOR CYCLE,AMUR LEOPARD,FIGHT EAGLE,2015,AMPARA,2
MOTOR CYCLE,AMUR LEOPARD,THUNDER  KING,2015,AMPARA,1
MOTOR CYCLE,AMUR LEOPARD,TITAN  60 V,2015,AMPARA,2
MOTOR CYCLE,AMUR LEOPARD,JUFENG,2015,AMPARA,1
MOTOR CYCLE,AMUR LEOPARD,JIYAYING,2015,AMPARA,1
MOTOR CYCLE,LUYUAN ALFA,MN3-CSQ6020-G1,2016,GALLE,5
MOTOR CYCLE,LUYUAN ALFA,MN3-CSQ6020-G1,2016,KEGALLE,1
MOTOR CYCLE,LUYUAN ALFA,MN3-CSQ6020-G1,2016,MONERAGALA,2
MOTOR CYCLE,SINSKI,TDR 137Z,2015,PUTTALAM,1
MOTOR CYCLE,LUYUAN ALFA,MN3-CSQ6020-G1,2017,TRINCOMALEE,4
MOTOR CYCLE,LUYUAN ALFA,MN3-CSQ6020-G1,2017,KEGALLE,1
MOTOR CYCLE,LUYUAN ALFA,MN5 CAS7220-Z5,2017,COLOMBO,1
MOTOR CYCLE,LUYUAN ALFA,MN3-CSQ6020-G1,2017,COLOMBO,2
MOTOR CYCLE,TAING,TDR398Z,2017,COLOMBO,1
MOTOR CYCLE,LUYUAN ALFA,MN5-CAS7220-Z5,2018,GALLE,2
MOTOR CYCLE,SINSKI,TDR 137 Z,2017,PUTTALAM,1
MOTOR CYCLE,GEISMAR,YD-GM010,2019,COLOMBO,1
MOTOR CYCLE,LUYUAN ALFA,MKK-Z23E-12-C,2023,GALLE,10
MOTOR CYCLE,LUYUAN ALFA,M MKK-Z30LJ-12-C,2023,COLOMBO,3
MOTOR CYCLE,SINSKI,TDR91Z,2014,COLOMBO,1
MOTOR CYCLE,SINSKI,TDR283 Z,2014,KEGALLE,1
CAR,HYUNDAI,IONIQ 6 EV,2024,COLOMBO,1
MOTOR CYCLE,LENCAR,ERC80,2023,HAMBANTOTA,2
MOTOR CYCLE,LUYUAN ALFA,MKK-Z23E-12-C,2025,AMPARA,18
MOTOR CYCLE,LUYUAN ALFA,MKK-Z23E-12-C,2025,KANDY,2
CAR,HYUNDAI,CRETA,2025,COLOMBO,1
CAR,DONGFENG,BOX E3,2025,COLOMBO,2
THREE WHEELER,MM,WH 5000 DZK,2025,KURUNEGALA,1
CAR,HYUNDAI,KONA,2023,COLOMBO,1
MOTOR CYCLE,LENCAR,ERC80,2025,KEGALLE,1
CAR,KIA,EV5-EARTH LONG RANGE,2025,COLOMBO,1
MOTOR CYCLE,FST,V9,2025,COLOMBO,1
MOTOR CYCLE,LUYUAN ALFA,MKK-Z23E-12-C,2025,VAVUNIYA,1
CAR,HYUNDAI,IONIQ-9-EV,2025,COLOMBO,1
MOTOR CYCLE,LUYUAN ALFA,MN3-CSQ6020-G1,2016,KURUNEGALA,7
MOTOR CYCLE,LUYUAN ALFA,MN3-CSQ6020-G1,2018,KURUNEGALA,1
MOTOR CYCLE,LUYUAN ALFA,MKK-Z23E-12-C,2023,KALUTARA,6
MOTOR CYCLE,IZUKI,WOLF 3 E-SCOOTER,2023,BADULLA,1
MOTOR CYCLE,LUYUAN ALFA,MKK-Z23E-12-C,2024,KALUTARA,7
MOTOR CYCLE,LUYUAN ALFA,M-MKK-Z30LJ-12-C,2025,POLONNARUWA,2
MOTOR CYCLE,LENCAR,ERC80,2025,BADULLA,1
MOTOR CYCLE,LUYUAN ALFA,MYT,2025,ANURADHAPURA,1
MOTOR CYCLE,SINSKI,TDR 137 Z,2015,GAMPAHA,2
MOTOR CYCLE,SINSKI,TDR283Z,2015,GAMPAHA,2
MOTOR CYCLE,LUYUAN ALFA,M7,2018,GAMPAHA,1
MOTOR CYCLE,SINSKI,TDR93Z,2014,MATARA,1
MOTOR CYCLE,LUYUAN ALFA,E-MNP2-7223D-9B-C,2022,GAMPAHA,4
MOTOR CYCLE,LUYUAN ALFA,M-MKK-Z30LJ-12-C,2024,GAMPAHA,4
MOTOR CYCLE,LENCAR,ERC80,2023,MATARA,1
MOTOR CYCLE,AMUR LEOPARD,FIGHT EAGLE,2015,KILINOCHCHI,1
MOTOR CYCLE,AMUR LEOPARD,WYWANG PRINCES,2013,RATNAPURA,1
MOTOR CYCLE,AMUR LEOPARD,WYWANG PRINCES,2014,MANNAR,1
MOTOR CYCLE,LUYUAN ALFA,MDFS7220-G1,2016,RATNAPURA,1
MOTOR CYCLE,LUYUAN ALFA,M MKK-Z30LJ-12-C,2022,RATNAPURA,1
MOTOR CYCLE,AMUR LEOPARD,WUYANG PRINCESS,2014,JAFFNA,4
MOTOR CYCLE,LUYUAN ALFA,MKK-Z23E-12-C,2024,JAFFNA,2
CAR,PEUGEOT,E2008 ALLURE PREMIUM,2022,KANDY,1
CAR,PEUGEOT,2008 GT PREMIUM EV,2023,COLOMBO,2
CAR,KAIYI,X3 PRO EV,2025,COLOMBO,1
MOTOR CYCLE,GALLANT,ZX-HYBRID,2018,KURUNEGALA,1
MOTOR CYCLE,GALLANT,XK-HYBIRD,2018,GAMPAHA,1
MOTOR CYCLE,GALLANT,ZX- HYBRIDI,2019,GAMPAHA,1
MOTOR CYCLE,GALLANT,CTTY WALKER,2018,GAMPAHA,1
MOTOR CYCLE,OKAYA,FAAST F2,2023,BATTICALOA,1
MOTOR CYCLE,GUOWEI EAGLE,GWEMOIPRETTY,2019,RATNAPURA,1
MOTOR CYCLE,OKAYA,FAAST F2T,2022,MANNAR,1
MOTOR CYCLE,OKAYA,FAAST F2T,2022,RATNAPURA,2
MOTOR CYCLE,RIKODA,YSY,2022,JAFFNA,10
MOTOR CYCLE,STAR,HURRICANE,2018,COLOMBO,1
MOTOR CYCLE,ELECTRA,QUANNENGWANG,2017,COLOMBO,1
THREE WHEELER,MAHINDRA,TREO,2019,COLOMBO,4
CAR,MAHINDRA,E 20,2016,JAFFNA,1
MOTOR CYCLE,VINFAST,FELIZ,2024,COLOMBO,3
CAR,KGM,TORREX EVX,2024,KANDY,1
MOTOR CYCLE,TVS,IQUBE,2025,HAMBANTOTA,12
THREE WHEELER,MAHINDRA,TREO,2025,KANDY,5
THREE WHEELER,MAHINDRA,TREO,2025,MATARA,3
MOTOR TRICYCLE VAN,MAHINDRA,TREO ZOR DV,2025,COLOMBO,1
MOTOR TRICYCLE VAN,MAHINDRA,TREO ZOR PICKUP,2025,KURUNEGALA,1
CAR,IM,IM06-75KW RWD,2025,COLOMBO,4
CAR,IM,IM06,2025,COLOMBO,2
CAR,MAHINDRA,E20,2016,BADULLA,1
MOTOR CYCLE,TVS,IQUBE,2024,KALUTARA,15
MOTOR CYCLE,TAILING,JL1200 DT-47T,2024,NUWARA-ELIYA,1
THREE WHEELER,MAHINDRA,TREO,2025,VAVUNIYA,1
MOTOR CYCLE,ELECTRA,ST 09,2018,GAMPAHA,1
MOTOR CYCLE,TVS,IQUBE,2024,GAMPAHA,72
MOTOR CYCLE,SPORT,SPORT POWER,2024,GAMPAHA,1
THREE WHEELER,OZONE,CHAPPIE,2015,COLOMBO,1
MOTOR CYCLE,ALFA,DPX,2018,COLOMBO,3
MOTOR CYCLE,ALFA,XY III METRO,2018,GALLE,1
MOTOR CYCLE,LVYUAN,DPX,2019,HAMBANTOTA,1
MOTOR CYCLE,HUAIHAI,HUAIHAI,2023,COLOMBO,17
CAR,CITROEN,EC3-FEEL ELECTRIC,2023,KANDY,1
